ID,Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Subtotal,Quantity Discount
466,10,USA,Midwest,MO,Just The Fruit,160,89,14240,0
467,12,USA,Northeast,RI,Ultra-Salty Chips,454,3,1362,0
468,1,USA,Midwest,NE,Grey Gummies,446,50,22300,0
469,4,USA,West,HI,Meat B Gone,495,29,14355,0
470,7,USA,South,SC,Purple Pain,105,23,2415,0
471,3,USA,West,AZ,Purple Pain,105,60,6300,0
472,8,USA,Midwest,MO,Giant Gummies,347,85,29495,0
473,1,USA,West,HI,Orange Creepies,300,4,1200,0
474,6,USA,South,TN,Rotpunkt,220,52,11440,0
475,3,USA,South,NC,Funky Pops,380,29,11020,0
476,2,USA,Midwest,MO,Mr Greens,447,95,42465,4247
477,9,USA,West,AZ,Rotpunkt,220,21,4620,0
478,5,USA,Midwest,MO,Rotpunkt,220,65,14300,0
479,11,USA,South,TN,Giant Gummies,347,65,22555,0
480,10,USA,West,HI,Yellow Zonkers,134,35,4690,0
481,4,USA,Northeast,MA,Organiks,257,83,21331,0
482,3,USA,West,CA,Just The Fruit,160,76,12160,0
483,1,USA,Midwest,MO,Nap Be Gone,500,98,49000,4900
484,3,USA,South,MD,Crocodile Tears,143,71,10153,0
485,3,USA,South,NC,Rotpunkt,220,3,660,0
486,3,USA,Northeast,MA,PearApple,363,57,20691,0
487,5,USA,South,SC,Panda Gummies,104,37,3848,0
488,5,USA,Northeast,MA,Yellow Zonkers,134,24,3216,0
489,5,USA,West,AZ,Big Waffle,268,35,9380,0
490,8,USA,South,SC,Just The Fruit,160,22,3520,0
491,10,USA,South,MD,Organiks,257,45,11565,0
492,4,USA,West,ID,Red Hot Chili Peppers,233,79,18407,0
493,5,USA,Midwest,IL,Only Pancakes,413,52,21476,0
494,12,USA,South,TN,GMO Guardian,176,78,13728,0
495,3,USA,South,MD,Future Toast,253,9,2277,0
496,4,USA,West,ID,Ultra-Salty Chips,454,59,26786,0
497,4,USA,Midwest,NE,PearApple,363,84,30492,0
498,2,USA,West,OR,Rotpunkt,220,49,10780,0
499,9,USA,West,HI,Just The Fruit,160,19,3040,0
